Ordered,10,9,8,7,6,5,4,3,2,1,url,shortname
yes,Colossal,Split,Baby Driver,I Don't Feel at Home in This World Anymore,Guardians of the Galaxy Vol. 2,A Dark Song,The Big Sick,The LEGO Batman Movie,Logan,Get Out,https://www.usatoday.com/story/life/movies/2017/07/05/best-movies-of-2017-so-far-ranked-get-out-logan-baby-driver/103395786/,usatoday
yes,The Post,Good Time,A Ghost Story,Faces Places,Dunkirk,Phantom Thread,The Florida Project,Call Me by Your Name,Lady Bird,Get Out,http://digg.com/2017/best-movies-2017-top-10-lists-get-out-lady-bird,digg
yes,Girls Trip,Get Out,Faces Places,Dunkirk,Call Me by Your Name,Kedi,Personal Shopper,The Lost City of Z,Lady Bird,The Post,time.com/5045566/top-10-movies-2017/,time
no,The Florida Project,Get Out,Afterimage,Ex Libris: The New York Public Library,Faces Places,The Breadwinner,The Big Sick,Kedi,Phantom Thread,Mother!,https://www.csmonitor.com/The-Culture/Movies/2017/1215/The-10-best-movies-of-2017,csmonitor
yes,Blade Runner 2049,Thor: Ragnarok,Wonder Woman,Baby Driver,It,Logan,The Big Sick,Star Wars: The Last Jedi,Dunkirk,Get Out,https://www.youtube.com/watch?v=8zy4yvHAtfc,WatchMojo.com
yes,Wind River,Get Out,Blade Runner 2049,Baby Driver,Mother!,War for the Planet of the Apes,Spider-Man: Homecoming,It,The Disaster Artist,Logan,https://www.youtube.com/watch?v=XvondF0gfro,Jeremy Jahns
yes,American Made,The LEGO Batman Movie,Dunkirk,Star Wars: The Last Jedi,John Wick: Chapter 2,Spider-Man: Homecoming,Blade Runner 2049,Logan,Get Out,Baby Driver,https://www.youtube.com/watch?v=1SR8jxUFZoc,BHL Hudson
yes,Anna and the Apocalypse,Wind River,Thor: Ragnarok,The Glass Castle,Wonder Woman,Logan,Brawl in Cell Block 99,Dunkirk,War for the Planet of the Apes,The Disaster Artist,https://www.youtube.com/watch?v=H-jRMU_m7SY,Sean Chandler talks about
yes,The Shape of Water,Spider-Man: Homecoming,Get Out,Logan Lucky,War for the Planet of the Apes,Three Billboards Outside Ebbing Missouri,Dunkirk,Lady Bird,Logan,Blade Runner 2049,https://www.youtube.com/watch?v=B_aI53haS6Y,nerd soup
yes,Darkest Hour,War for the Planet of the Apes,Wind River,It,Star Wars: The Last Jedi,Wonder,Logan,Baby Driver,Dunkirk,The Disaster Artist,https://www.youtube.com/watch?v=bb_AG0Ie9J4,schmoesknow
yes,Split,War for the Planet of the Apes,Baby Driver,Wonder Woman,Logan,Get Out,The Shape of Water,Call Me by Your Name,Star Wars: The Last Jedi,Coco,https://www.youtube.com/watch?v=bb_AG0Ie9J4,schmoesknow
yes,Star Wars: The Last Jedi,Get Out,I Tonya,Thor: Ragnarok,Logan,Call Me by Your Name,Beauty and the Beast,Coco,It,Wonder Woman,https://www.youtube.com/watch?v=8C6SBZ4tJBY,beyond the trailer
yes,Blade Runner 2049,Beauty and the Beast,Get Out,Guardians of the Galaxy Vol. 2,Star Wars: The Last Jedi,It,Spider-Man: Homecoming,Thor: Ragnarok,Logan,Wonder Woman,https://www.youtube.com/watch?v=cxONjmAQl6w,beyond the trailer
yes,Baby Driver,The Disaster Artist,Wind River,The Big Sick,Three Billboards Outside Ebbing Missouri,Dunkirk,Darkest Hour,The Post,Molly's Game,Logan,https://www.youtube.com/watch?v=G9ABGlJvkWM,john campea
yes,Thor: Ragnarok,Three Billboards Outside Ebbing Missouri,The Big Sick,Baby Driver,The Florida Project,Lady Bird,Logan,Call Me by Your Name,Dunkirk,Get Out,https://www.youtube.com/watch?v=GbCykrLZ5bg,media muse
yes,The Shape of Water,The Big Sick,Get Out,Blade Runner 2049,Call Me by Your Name,Three Billboards Outside Ebbing Missouri,The Florida Project,Baby Driver,The Disaster Artist,Lady Bird,https://www.youtube.com/watch?v=Mi3UrCa7IYw,karsten runquist
yes,Good Time,Wind River,I Tonya,Three Billboards Outside Ebbing Missouri,Get Out,War for the Planet of the Apes,Dunkirk,The Post,Logan,Blade Runner 2049,https://www.youtube.com/watch?v=KyQFiPBxkF4,jake hamilton
